KEGG	Cpd	Formula	Mass	Exact Mass	MetaboAnalyst
C00081	ITP	C10H15N4O14P3	507.9798	507.979762	ITP
C00082	L-Tyrosine	C9H11NO3	181.0739	181.073893	L-Tyrosine
C00083	Malonyl-CoA	C24H38N7O19P3S	853.1156	853.115604	
C00084	Acetaldehyde	C2H4O	44.0262	44.026214	Aldehyde
C00085	D-Fructose 6-phosphate	C6H13O9P	260.0297	260.029718	Fructose 6-phosphate
C00086	Urea	CH4N2O	60.0324	60.032362	Urea
C00087	Sulfur	S	31.9721	31.972071	Sulfide
C00088	Nitrite	HNO2	47.0007	47.000728	Nitrite
C00089	Sucrose	C12H22O11	342.1162	342.116211	Sucrose
C00090	Catechol	C6H6O2	110.0368	110.036779	Catechol
C00091	Succinyl-CoA	C25H40N7O19P3S	867.1313	867.131254	Succinyl-CoA
C00092	D-Glucose 6-phosphate	C6H13O9P	260.0297	260.029718	Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate	C3H9O6P	172.0137	172.013675	Glycerol 3-phosphate
C00094	Sulfite	H2SO3	81.9725	81.972465	Sulfite
C00095	D-Fructose	C6H12O6	180.0634	180.063388	
C00096	GDP-mannose	C16H25N5O16P2	605.0772	605.077153	Guanosine diphosphate mannose
C00097	L-Cysteine	C3H7NO2S	121.0197	121.019749	L-Cysteine
C00098	Oligopeptide	C2H4NO2R(C2H2NOR)n			Oligopeptide
C00099	beta-Alanine	C3H7NO2	89.0477	89.047678	beta-Alanine
C00100	Propanoyl-CoA	C24H40N7O17P3S	823.1414	823.141425	Propionyl-CoA
C00101	Tetrahydrofolate	C19H23N7O6	445.171	445.170981	Tetrahydrofolic acid
C00102	2,6-Dichloroindophenol	C12H7Cl2NO2	266.9854	266.985383	
C00103	D-Glucose 1-phosphate	C6H13O9P	260.0297	260.029718	Glucose 1-phosphate
C00104	IDP	C10H14N4O11P2	428.0134	428.013431	IDP
C00105	UMP	C9H13N2O9P	324.0359	324.035867	Uridine 5'-monophosphate
C00106	Uracil	C4H4N2O2	112.0273	112.027277	Uracil
C00107	Dipeptide	C4H6N2O3R2			Dipeptide
C00108	Anthranilate	C7H7NO2	137.0477	137.047678	2-Aminobenzoic acid
C00109	2-Oxobutanoate	C4H6O3	102.0317	102.031694	3-methyl pyruvic acid
C00110	Dolichyl phosphate	C20H37O4P(C5H8)n			Dolichol phosphate
C00111	Glycerone phosphate	C3H7O6P	169.998	169.998024	Dihydroxyacetone phosphate
C00112	CDP	C9H15N3O11P2	403.0182	403.018182	CDP
C00113	PQQ	C14H6N2O8	330.0124	330.012415	Pyrroloquinoline quinone
C00114	Choline	C5H14NO	104.1075	104.107539	Choline
C00116	Glycerol	C3H8O3	92.0473	92.047344	Glycerol
C00117	D-Ribose 5-phosphate	C5H11O8P	230.0192	230.019154	D-Ribose 5-phosphate
C00118	D-Glyceraldehyde 3-phosphate	C3H7O6P	169.998	169.998024	Glyceraldehyde 3-phosphate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	C5H13O14P3	389.9518	389.951816	Phosphoribosyl pyrophosphate
C00120	Biotin	C10H16N2O3S	244.0882	244.088163	Biotin
C00121	D-Ribose	C5H10O5	150.0528	150.052823	D-Ribose
C00122	Fumarate	C4H4O4	116.011	116.010958	Fumaric acid
C00123	L-Leucine	C6H13NO2	131.0946	131.094628	L-Leucine
C00124	D-Galactose	C6H12O6	180.0634	180.063388	alpha-Santalyl acetate
C00125	Ferricytochrome c	C42H44FeN8O8S2R4			
C00126	Ferrocytochrome c	C42H44FeN8O8S2R4			
C00127	Glutathione disulfide	C20H32N6O12S2	612.152	612.151962	Oxidized glutathione
C00128	CMP-N-acetylneuraminate	C20H31N4O16P	614.1473	614.147267	Cytidine monophosphate N-acetylneuraminic acid
C00129	Isopentenyl diphosphate	C5H12O7P2	246.0058	246.005826	Isopentenyl pyrophosphate
C00130	IMP	C10H13N4O8P	348.0471	348.0471	Inosinic acid
C00131	dATP	C10H16N5O12P3	491.0008	491.000831	Deoxyadenosine triphosphate
C00132	Methanol	CH4O	32.0262	32.026214	Methanol
C00133	D-Alanine	C3H7NO2	89.0477	89.047678	D-Alanine
C00134	Putrescine	C4H12N2	88.1	88.100048	Putrescine
C00135	L-Histidine	C6H9N3O2	155.0695	155.069476	L-Histidine
C00136	Butanoyl-CoA	C25H42N7O17P3S	837.1571	837.157075	Butyryl-CoA
C00137	myo-Inositol	C6H12O6	180.0634	180.063388	myo-Inositol
C00138	Reduced ferredoxin				
C00139	Oxidized ferredoxin				
C00140	N-Acetyl-D-glucosamine	C8H15NO6	221.0899	221.089937	N-Acetyl-D-glucosamine
C00141	3-Methyl-2-oxobutanoic acid	C5H8O3	116.0473	116.047344	Alpha-ketoisovaleric acid
C00143	5,10-Methylenetetrahydrofolate	C20H23N7O6	457.171	457.170981	5,10-Methylene-THF
C00144	GMP	C10H14N5O8P	363.058	363.057999	Guanosine monophosphate
C00145	Thiol	HSR			
C00146	Phenol	C6H6O	94.0419	94.041864	
C00147	Adenine	C5H5N5	135.0545	135.054495	Adenine
C00148	L-Proline	C5H9NO2	115.0633	115.063328	L-Proline
C00149	(S)-Malate	C4H6O5	134.0215	134.021523	L-Malic acid
C00150	Molybdenum	Mo	97.9054	97.905404	Molybdenum
C00151	L-Amino acid	C2H4NO2R			L-Amino acid
C00152	L-Asparagine	C4H8N2O3	132.0535	132.053492	L-Asparagine
C00153	Nicotinamide	C6H6N2O	122.048	122.048012	Niacinamide
C00154	Palmitoyl-CoA	C37H66N7O17P3S	1005.3449	1005.344875	Palmityl-CoA
C00155	L-Homocysteine	C4H9NO2S	135.0354	135.035399	L-Homocysteine
C00156	4-Hydroxybenzoate	C7H6O3	138.0317	138.031694	4-Hydroxybenzoic acid
C00157	Phosphatidylcholine	C10H18NO8PR2			PC(16:0/16:0)
C00158	Citrate	C6H8O7	192.027	192.027002	Citric acid
C00159	D-Mannose	C6H12O6	180.0634	180.063388	
C00160	Glycolate	C2H4O3	76.016	76.016043	Glycolate
C00161	2-Oxo acid	C2HO3R			
C00162	Fatty acid	CHO2R			Fatty acid
C00163	Propanoate	C3H6O2	74.0368	74.036779	Propionic acid
C00164	Acetoacetate	C4H6O3	102.0317	102.031694	Acetoacetic acid
C00165	Diacylglycerol	C5H6O5R2			DG(16:0/16:0/0:0)
C00166	Phenylpyruvate	C9H8O3	164.0473	164.047344	Phenylpyruvic acid
C00167	UDP-glucuronate	C15H22N2O18P2	580.0343	580.034285	Uridine diphosphate glucuronic acid
C00168	Hydroxypyruvate	C3H4O4	104.011	104.010958	Hydroxypyruvic acid
C00169	Carbamoyl phosphate	CH4NO5P	140.9827	140.982709	Carbamoyl phosphate
C00170	5'-Methylthioadenosine	C11H15N5O3S	297.0896	297.08956	5'-Methylthioadenosine
C00171	5'-Phosphomononucleotide	C5H10O7PR			
C00172	3'-Phosphooligonucleotide	C10H19O16P3R2(C5H8O6PR)n			
C00173	Acyl-[acyl-carrier protein]	C3H4OSR2			Acyl-[acyl-carrier protein]
C00174	Acid				Nonadeca-10(Z)-enoic acid
C00175	Cobalt ion	Co	58.9332	58.933194	Cobalt
C00176	Flavin	C12H9N4O2R			
C00177	Cyanide ion	CN	26.0031	26.003074	Cyanide
C00178	Thymine	C5H6N2O2	126.0429	126.042927	Thymine
C00179	Agmatine	C5H14N4	130.1218	130.121846	Agmatine
C00180	Benzoate	C7H6O2	122.0368	122.036779	Benzoate
C00181	D-Xylose	C5H10O5	150.0528	150.052823	D-Xylose
C00182	Glycogen	C24H42O21	666.2219	666.221858	Glycogen
C00183	L-Valine	C5H11NO2	117.079	117.078978	L-Valine
C00184	Glycerone	C3H6O3	90.0317	90.031694	Dihydroxyacetone
C00185	Cellobiose	C12H22O11	342.1162	342.116211	1-beta-D-Glucopyranosyl-4-D-glucopyranose
C00186	(S)-Lactate	C3H6O3	90.0317	90.031694	L-Lactic acid
C00187	Cholesterol	C27H46O	386.3549	386.354866	Cholesterol
C00188	L-Threonine	C4H9NO3	119.0582	119.058243	L-Threonine
C00189	Ethanolamine	C2H7NO	61.0528	61.052763	Ethanolamine
C00190	UDP-D-xylose	C14H22N2O16P2	536.0445	536.044456	Cotinine glucuronide
C00191	D-Glucuronate	C6H10O7	194.0427	194.042652	Glucuronic acid
C00192	Hydroxylamine	NH3O	33.0215	33.021463	Hydroxylamine
C00193	Aromatic aldehyde	C7H6O	106.0419	106.041864	
C00194	Cobamide coenzyme	C72H100CoN18O17P	1578.6583	1578.65834	Adenosylcobalamin
C00195	N-Acylsphingosine	C19H36NO3R			Ceramide (d18:1/12:0)
C00196	2,3-Dihydroxybenzoate	C7H6O4	154.0266	154.026608	2-Pyrocatechuic acid
C00197	3-Phospho-D-glycerate	C3H7O7P	185.9929	185.992939	D-Glycerate 3-phosphate
C00198	D-Glucono-1,5-lactone	C6H10O6	178.0477	178.047738	Gluconolactone
C00199	D-Ribulose 5-phosphate	C5H11O8P	230.0192	230.019154	D-Ribulose 5-phosphate
C00200	Phenazine methosulfate	C13H11N2. CH3SO4	306.0674	306.067428	
C00201	Nucleoside triphosphate	C5H12O13P3R			
C00202	Isoflurophate	C6H14FO3P	184.0665	184.066459	Isoflurophate
C00203	UDP-N-acetyl-D-galactosamine	C17H27N3O17P2	607.0816	607.08157	Uridine diphosphate-N-acetylgalactosamine
C00204	2-Dehydro-3-deoxy-D-gluconate	C6H10O6	178.0477	178.047738	2-Dehydro-3-deoxy-D-gluconate
C00205	hn				
C00206	dADP	C10H15N5O9P2	411.0345	411.034501	dADP
C00207	Acetone	C3H6O	58.0419	58.041864	Propan-2-one
C00208	Maltose	C12H22O11	342.1162	342.116211	D-Maltose
C00209	Oxalate	C2H2O4	89.9953	89.995308	Oxalic acid
C00210	Cobamide	C53H79CoN11O14P(R1)(R2)			
C00211	Collagen	C4H6N2O3R2(C7H9N2O2R)n			
C00212	Adenosine	C10H13N5O4	267.0968	267.096753	Adenosine
C00213	Sarcosine	C3H7NO2	89.0477	89.047678	Sarcosine
C00214	Thymidine	C10H14N2O5	242.0903	242.090271	Thymidine
C00215	Nucleotide				
C00216	D-Arabinose	C5H10O5	150.0528	150.052823	
C00217	D-Glutamate	C5H9NO4	147.0532	147.053157	D-Glutamic acid
C00218	Methylamine	CH5N	31.0422	31.042199	Methylamine
C00219	Arachidonate	C20H32O2	304.2402	304.24023	Arachidonic acid
C00220	Methylene blue	C16H18N3S. Cl	319.091	319.090996	
C00221	beta-D-Glucose	C6H12O6	180.0634	180.063388	D-Glucose
C00222	3-Oxopropanoate	C3H4O3	88.016	88.016043	Malonic semialdehyde
C00223	p-Coumaroyl-CoA	C30H42N7O18P3S	913.152	913.151989	4-coumaroyl-CoA
C00224	Adenylyl sulfate	C10H14N5O10PS	427.0199	427.019899	Adenosine phosphosulfate
C00225	Methyl viologen	C12H14N2. 2Cl	256.0534	256.053403	
C00226	Primary alcohol	CH3OR			Primary alcohol
C00227	Acetyl phosphate	C2H5O5P	139.9875	139.98746	Acetylphosphate
C00229	Acyl-carrier protein	HSR			Acyl-carrier protein
C00230	3,4-Dihydroxybenzoate	C7H6O4	154.0266	154.026608	Protocatechuic acid
C00231	D-Xylulose 5-phosphate	C5H11O8P	230.0192	230.019154	Xylulose 5-phosphate
C00232	Succinate semialdehyde	C4H6O3	102.0317	102.031694	Succinic acid semialdehyde
C00233	4-Methyl-2-oxopentanoate	C6H10O3	130.063	130.062994	Ketoleucine
C00234	10-Formyltetrahydrofolate	C20H23N7O7	473.1659	473.165896	N10-Formyl-THF
C00235	Dimethylallyl diphosphate	C5H12O7P2	246.0058	246.005826	Dimethylallylpyrophosphate
C00236	3-Phospho-D-glyceroyl phosphate	C3H8O10P2	265.9593	265.95927	Glyceric acid 1,3-biphosphate
C00237	CO	CO	27.9949	27.994914	Carbon monoxide
C00238	Potassium cation	K	38.9637	38.963706	Potassium
C00239	dCMP	C9H14N3O7P	307.0569	307.056936	dCMP
C00240	rRNA	C15H25O16P2R3			
C00241	Amide	CH2NOR			Amide
C00242	Guanine	C5H5N5O	151.0494	151.049409	Guanine
C00243	Lactose	C12H22O11	342.1162	342.116211	Alpha-Lactose
C00244	Nitrate	HNO3	62.9956	62.995642	Nitrate
C00245	Taurine	C2H7NO3S	125.0147	125.014664	Taurine
C00246	Butanoic acid	C4H8O2	88.0524	88.052429	Butyric acid
C00247	L-Sorbose	C6H12O6	180.0634	180.063388	
C00248	Lipoamide	C8H15NOS2	205.0595	205.059506	Lipoamide
C00249	Hexadecanoic acid	C16H32O2	256.2402	256.24023	Palmitic acid
C00250	Pyridoxal	C8H9NO3	167.0582	167.058243	Pyridoxal
C00251	Chorismate	C10H10O6	226.0477	226.047738	Chorismate
C00252	Isomaltose	C12H22O11	342.1162	342.116211	
C00253	Nicotinate	C6H5NO2	123.032	123.032028	Nicotinic acid
C00254	Prephenate	C10H10O6	226.0477	226.047738	Prephenate
C00255	Riboflavin	C17H20N4O6	376.1383	376.138284	Riboflavin
C00256	(R)-Lactate	C3H6O3	90.0317	90.031694	D-Lactic acid
C00257	D-Gluconic acid	C6H12O7	196.0583	196.058302	Gluconic acid
C00258	D-Glycerate	C3H6O4	106.0266	106.026608	Glyceric acid
C00259	L-Arabinose	C5H10O5	150.0528	150.052823	
C00261	Benzaldehyde	C7H6O	106.0419	106.041864	Benzaldehyde
C00262	Hypoxanthine	C5H4N4O	136.0385	136.03851	Hypoxanthine
C00263	L-Homoserine	C4H9NO3	119.0582	119.058243	L-Homoserine
C00264	3-Oxoacyl-CoA	C24H37N7O18P3SR			3-Oxoacyl-CoA
C00265	Dithiothreitol	C4H10O2S2	154.0122	154.012221	2,3-Butanediol
C00266	Glycolaldehyde	C2H4O2	60.0211	60.021129	Glycolaldehyde
C00267	alpha-D-Glucose	C6H12O6	180.0634	180.063388	Alpha-D-Glucose
C00268	Dihydrobiopterin	C9H13N5O3	239.1018	239.101839	4a-Carbinolamine tetrahydrobiopterin
C00269	CDP-diacylglycerol	C14H19N3O15P2R2			CDP-diacylglycerol
C00270	N-Acetylneuraminate	C11H19NO9	309.106	309.105981	N-Acetylneuraminate
C00272	Tetrahydrobiopterin	C9H15N5O3	241.1175	241.117489	Tetrahydrobiopterin
C00273	5-Dehydro-D-fructose	C6H10O6	178.0477	178.047738	
C00275	D-Mannose 6-phosphate	C6H13O9P	260.0297	260.029718	Mannose 6-phosphate
C00279	D-Erythrose 4-phosphate	C4H9O7P	200.0086	200.008589	D-Erythrose 4-phosphate
C00280	Androstenedione	C19H26O2	286.1933	286.19328	Androstenedione
C00282	Hydrogen	H2	2.0157	2.01565	Hydrogen
C00283	Hydrogen sulfide	H2S	33.9877	33.987721	Hydrogen sulfide
C00284	EDTA	C10H16N2O8	292.0907	292.090665	Edetic Acid
C00286	dGTP	C10H16N5O13P3	506.9957	506.995746	dGTP
C00288	HCO3-	HCO3	60.9926	60.992568	HCO3-
C00290	Fibrin				
C00291	Nickel	Ni	57.9353	57.935342	
C00292	Aniline	C6H7N	93.0578	93.057849	Aniline
C00294	Inosine	C10H12N4O5	268.0808	268.080769	Inosine
C00295	Orotate	C5H4N2O4	156.0171	156.017106	Orotic acid
C00296	Quinate	C7H12O6	192.0634	192.063388	Quinic acid
C00297	Sulfide	SR2			
C00298	Trypsin				
C00299	Uridine	C9H12N2O6	244.0695	244.069536	Uridine
C00300	Creatine	C4H9N3O2	131.0695	131.069476	Creatine
C00301	ADP-ribose	C15H23N5O14P2	559.0717	559.071674	ADP-ribose
C00302	Glutamate	C5H9NO4	147.0532	147.053157	DL-Glutamate
C00303	Glutamine	C5H10N2O3	146.0691	146.069142	Majoroside F6
C00304	Kanamycin	C18H33N3O10(R1)(R2)			
C00305	Magnesium cation	Mg	23.985	23.985041	Magnesium
C00306	Bradykinin	C50H73N15O11	1059.5614	1059.561398	Bradykinin
C00307	CDP-choline	C14H26N4O11P2	488.1073	488.107331	Citicoline
C00308	Canavanine	C5H12N4O3	176.0909	176.09094	Canavanine
C00309	D-Ribulose	C5H10O5	150.0528	150.052823	D-Ribulose
C00310	D-Xylulose	C5H10O5	150.0528	150.052823	D-Xylulose
C00311	Isocitrate	C6H8O7	192.027	192.027002	Isocitric acid
C00312	L-Xylulose	C5H10O5	150.0528	150.052823	L-Threo-2-pentulose
C00313	Oxalyl-CoA	C23H36N7O19P3S	839.1	839.099954	Oxalyl-CoA
C00314	Pyridoxine	C8H11NO3	169.0739	169.073893	Pyridoxine
C00315	Spermidine	C7H19N3	145.1579	145.157897	Spermidine
C00317	Amylopectin				Amylopectin
C00318	L-Carnitine	C7H15NO3	161.1052	161.105193	L-Carnitine
C00319	Sphingosine	C18H37NO2	299.2824	299.282429	Sphingosine
C00320	Thiosulfate	HS2O3	112.9367	112.936711	
C00322	2-Oxoadipate	C6H8O5	160.0372	160.037173	Oxoadipic acid
C00323	Caffeoyl-CoA	C30H42N7O19P3S	929.1469	929.146904	Caffeoyl-CoA
C00324	Ferricyanide	C6FeN6	211.9534	211.95338	
C00325	GDP-L-fucose	C16H25N5O15P2	589.0822	589.082239	GDP-L-fucose
C00326	Glycoprotein				
C00327	L-Citrulline	C6H13N3O3	175.0957	175.095691	Citrulline
C00328	L-Kynurenine	C10H12N2O3	208.0848	208.084792	L-Kynurenine
C00329	D-Glucosamine	C6H13NO5	179.0794	179.079372	Glucosamine
C00330	Deoxyguanosine	C10H13N5O4	267.0968	267.096753	Deoxyguanosine
C00331	Indolepyruvate	C11H9NO3	203.0582	203.058243	Indolepyruvate
C00332	Acetoacetyl-CoA	C25H40N7O18P3S	851.1363	851.136339	Acetoacetyl-CoA
C00333	D-Galacturonate	C6H10O7	194.0427	194.042652	D-Galacturonate
C00334	4-Aminobutanoate	C4H9NO2	103.0633	103.063328	Gamma-Aminobutyric acid
C00337	(S)-Dihydroorotate	C5H6N2O4	158.0328	158.032756	4,5-Dihydroorotic acid
C00338	Lipopolysaccharide				LPS with O-antigen
C00339	Long-chain alcohol	CH3OR			
C00340	Reduced rubredoxin				Reduced rubredoxin
C00341	Geranyl diphosphate	C10H20O7P2	314.0684	314.068426	Geranyl 2-methylbutyrate
C00342	Thioredoxin	C10H14N4O4S2R4			Thioredoxin
C00343	Thioredoxin disulfide	C10H12N4O4S2R4			Thioredoxin disulfide
C00344	Phosphatidylglycerol	C8H13O10PR2			Phosphatidylglycerol
C00345	6-Phospho-D-gluconate	C6H13O10P	276.0246	276.024633	6-Phosphogluconic acid
C00346	Ethanolamine phosphate	C2H8NO4P	141.0191	141.019094	O-Phosphoethanolamine
C00347	Long-chain carboxylate	C3H5O2R			
C00348	all-trans-Undecaprenyl phosphate	C55H91O4P	846.6655	846.665498	all-trans-Undecaprenyl phosphate
C00349	2-Methyl-3-oxopropanoate	C4H6O3	102.0317	102.031694	2-Methyl-3-oxopropanoic acid
C00350	Phosphatidylethanolamine	C7H12NO8PR2			PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))
C00351	5'-Phosphooligonucleotide	C10H19O14P3R2(C5H8O5PR)n			
C00352	D-Glucosamine 6-phosphate	C6H14NO8P	259.0457	259.045703	Glucosamine 6-phosphate
C00353	Geranylgeranyl diphosphate	C20H36O7P2	450.1936	450.193627	Geranylgeranyl-PP
C00354	D-Fructose 1,6-bisphosphate	C6H14O12P2	339.996	339.996049	beta-D-Fructose 1,6-bisphosphate
C00355	3,4-Dihydroxy-L-phenylalanine	C9H11NO4	197.0688	197.068807	L-Dopa
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	C27H44N7O20P3S	911.1575	911.157469	3-Hydroxy-3-methylglutaryl-CoA
C00357	N-Acetyl-D-glucosamine 6-phosphate	C8H16NO9P	301.0563	301.056268	N-Acetyl-D-Glucosamine 6-Phosphate
C00360	dAMP	C10H14N5O6P	331.0682	331.06817	Deoxyadenosine monophosphate
C00361	dGDP	C10H15N5O10P2	427.0294	427.029415	dGDP
C00362	dGMP	C10H14N5O7P	347.0631	347.063084	dGMP
C00363	dTDP	C10H16N2O11P2	402.0229	402.022933	dTDP
C00364	dTMP	C10H15N2O8P	322.0566	322.056602	5-Thymidylic acid
C00365	dUMP	C9H13N2O8P	308.041	308.040952	dUMP
C00366	Urate	C5H4N4O3	168.0283	168.02834	Uric acid
C00367	Casein				
C00369	Starch	(C12H20O10)n			Starch
C00370	Sterol	C17H28O	248.214	248.214015	Sterol
C00371	Zeatin	C10H13N5O	219.112	219.11201	Cis-zeatin
C00372	Dextran	(C12H20O10)n			Dextran
C00373	Elastin				Astin I
C00374	Heparin	(C26H40N2O36S5)n			Heparin
C00375	RCH2NH2	CH4NR			
C00376	Retinal	C20H28O	284.214	284.214015	Retinal
C00377	Steroid				
C00378	Thiamine	C12H17N4OS	265.1123	265.112307	Thiamine
C00379	Xylitol	C5H12O5	152.0685	152.068473	Xylitol
C00380	Cytosine	C4H5N3O	111.0433	111.043261	Cytosine
C00381	Dolichol	C20H36O(C5H8)n			Dolichol-20
C00383	Malonate	C3H4O4	104.011	104.010958	Malonate
C00384	Neomycin	C12H25N4O5R			
C00385	Xanthine	C5H4N4O2	152.0334	152.033425	Xanthine
C00386	Carnosine	C9H14N4O3	226.1066	226.10659	Carnosine
C00387	Guanosine	C10H13N5O5	283.0917	283.091668	Guanosine
C00388	Histamine	C5H9N3	111.0796	111.079647	Histamine
C00389	Quercetin	C15H10O7	302.0427	302.042652	Quercetin
C00390	Ubiquinol	C14H20O4(C5H8)n			QH2
C00391	Calmodulin				
C00392	Mannitol	C6H14O6	182.079	182.079038	Mannitol
C00393	Fibrinogen				
C00394	GDP-glucose	C16H25N5O16P2	605.0772	605.077153	GDP-glucose
C00395	Penicillin	C9H11N2O4SR			Penicillin
C00396	Pyrimidine	C4H4N2	80.0374	80.037448	Pyrimidine
C00397	Tobramycin	C18H37N5O9	467.2591	467.259127	Tobramycin
C00398	Tryptamine	C10H12N2	160.1	160.100048	Tryptamine
C00399	Ubiquinone	C14H18O4(C5H8)n			Ubiquinone-1
C00400	(-)-Menthol	C10H20O	156.1514	156.151415	Menthol
C00401	Chondroitin	(C14H21NO11)n			Chondroitin
